City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nago,JP,77.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
6,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
10,Buala,SB,77.45,light rain,-8.145,159.5921,Maringe Lagoon Lodge
11,Arraial Do Cabo,BR,82.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
12,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Rikitea,PF,73.96,broken clouds,-23.1203,-134.9692,Pension Maro'i
18,Atuona,PF,79.77,few clouds,-9.8,-139.0333,Villa Enata
19,Vilhena,BR,86.5,overcast clouds,-12.7406,-60.1458,Hotel Mirage
23,Tezu,IN,74.39,scattered clouds,27.9167,96.1667,Circuit House
25,Areia Branca,BR,87.12,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
27,Kaniama,CD,75.45,scattered clouds,-7.5667,24.1833,
30,Basco,PH,84.88,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
32,Gemena,CD,79.7,overcast clouds,3.25,19.7667,Hôtel Goshen
36,Ponta Do Sol,PT,74.01,scattered clouds,32.6667,-17.1,Hotel do Campo
38,Souillac,MU,73.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Moquegua,PE,74.71,few clouds,-17.1956,-70.9353,Residencial Moquegua
41,Moron,AR,70.02,overcast clouds,-34.6534,-58.6198,Hotel Morón
49,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
55,Daoukro,CI,88.39,scattered clouds,7.0591,-3.9631,Komenan brou roseline
58,Qui Nhon,VN,81.01,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
59,Sangmelima,CM,72.25,light rain,2.9333,11.9833,gamestar hotel
60,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
61,San Cristobal,VE,80.78,few clouds,7.7669,-72.225,Posada Villaven C.A.
72,Ardakan,IR,86.38,clear sky,32.31,54.0175,Ardakan Hotel
74,Kavaratti,IN,83.71,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
76,Butaritari,KI,81.64,light rain,3.0707,172.7902,Isles Sunset Lodge
78,Kavieng,PG,81.23,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
82,Bandarbeyla,SO,79.74,scattered clouds,9.4942,50.8122,JABIR HOTEL
