City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nago,JP,2021-05-28 17:15:15,26.5881,127.9761,overcast clouds,77.45,90,100,8.72
1,Awjilah,LY,2021-05-28 17:15:16,29.1081,21.2869,clear sky,97.7,13,1,10.09
2,Segezha,RU,2021-05-28 17:15:16,63.7415,34.3222,overcast clouds,45.19,79,93,5.95
3,Barrow,US,2021-05-28 17:15:16,71.2906,-156.7887,overcast clouds,30.22,80,90,8.05
4,Kodiak,US,2021-05-28 17:15:17,57.79,-152.4072,overcast clouds,47.71,87,90,4.61
5,Bluff,NZ,2021-05-28 17:15:17,-46.6,168.3333,light rain,49.8,74,100,14.14
6,Georgetown,MY,2021-05-28 17:15:10,5.4112,100.3354,few clouds,81.9,87,20,1.34
7,Vaini,TO,2021-05-28 17:15:17,-21.2,-175.2,broken clouds,64.56,100,75,2.3
8,Ushuaia,AR,2021-05-28 17:15:18,-54.8,-68.3,broken clouds,33.46,93,75,27.63
9,Hobart,AU,2021-05-28 17:15:18,-42.8794,147.3294,overcast clouds,48.06,73,90,1.01
10,Buala,SB,2021-05-28 17:15:19,-8.145,159.5921,light rain,77.45,89,100,4.81
11,Arraial Do Cabo,BR,2021-05-28 17:15:19,-22.9661,-42.0278,clear sky,82.26,69,0,13.8
12,Mahebourg,MU,2021-05-28 17:15:19,-20.4081,57.7,scattered clouds,73.26,88,40,3.44
13,Rikitea,PF,2021-05-28 17:15:20,-23.1203,-134.9692,broken clouds,73.96,71,69,17.11
14,Yellowknife,CA,2021-05-28 17:14:16,62.456,-114.3525,overcast clouds,53.33,53,93,1.99
15,Albany,US,2021-05-28 17:13:19,42.6001,-73.9662,overcast clouds,58.89,53,100,1.01
16,Mataura,NZ,2021-05-28 17:15:20,-46.1927,168.8643,light rain,49.48,99,100,0.83
17,Qaqortoq,GL,2021-05-28 17:15:20,60.7167,-46.0333,broken clouds,59.5,73,52,6.82
18,Atuona,PF,2021-05-28 17:15:21,-9.8,-139.0333,few clouds,79.77,74,17,15.46
19,Vilhena,BR,2021-05-28 17:15:21,-12.7406,-60.1458,overcast clouds,86.5,39,90,6.53
20,Busselton,AU,2021-05-28 17:15:21,-33.65,115.3333,overcast clouds,60.04,90,100,17.38
21,Saryg-Sep,RU,2021-05-28 17:15:22,51.5,95.6,clear sky,42.94,86,8,1.9
22,Moba,CN,2021-05-28 17:15:22,33.2288,105.0179,overcast clouds,55.33,91,86,3.65
23,Tezu,IN,2021-05-28 17:15:22,27.9167,96.1667,scattered clouds,74.39,97,25,4.38
24,Bambanglipuro,ID,2021-05-28 17:15:23,-7.95,110.2833,scattered clouds,62.6,92,41,4.38
25,Areia Branca,BR,2021-05-28 17:15:23,-4.9561,-37.1369,overcast clouds,87.12,55,88,14.05
26,Tuktoyaktuk,CA,2021-05-28 17:15:23,69.4541,-133.0374,broken clouds,26.6,86,75,10.36
27,Kaniama,CD,2021-05-28 17:15:24,-7.5667,24.1833,scattered clouds,75.45,41,49,1.7
28,Constitucion,CL,2021-05-28 17:15:24,-35.3333,-72.4167,scattered clouds,58.71,62,47,3.06
29,Seredka,RU,2021-05-28 17:15:24,58.1584,28.1858,broken clouds,60.55,70,62,4.56
30,Basco,PH,2021-05-28 17:15:25,20.4487,121.9702,overcast clouds,84.88,73,91,11.74
31,Tasiilaq,GL,2021-05-28 17:15:25,65.6145,-37.6368,moderate rain,39.36,96,100,12.5
32,Gemena,CD,2021-05-28 17:15:25,3.25,19.7667,overcast clouds,79.7,71,99,1.36
33,La Ronge,CA,2021-05-28 17:15:26,55.1001,-105.2842,overcast clouds,55.65,54,90,10.36
34,Lebu,CL,2021-05-28 17:15:26,-37.6167,-73.65,overcast clouds,55.31,82,100,8.34
35,Avera,US,2021-05-28 17:15:26,33.194,-82.5271,clear sky,91.69,37,8,13.6
36,Ponta Do Sol,PT,2021-05-28 17:15:27,32.6667,-17.1,scattered clouds,74.01,74,49,2.68
37,Cidreira,BR,2021-05-28 17:15:27,-30.1811,-50.2056,moderate rain,63.14,95,100,8.5
38,Souillac,MU,2021-05-28 17:15:27,-20.5167,57.5167,scattered clouds,73.36,88,40,6.69
39,Moquegua,PE,2021-05-28 17:15:28,-17.1956,-70.9353,few clouds,74.71,20,22,10.31
40,Cape Town,ZA,2021-05-28 17:10:33,-33.9258,18.4232,light rain,63.1,84,22,3.0
41,Moron,AR,2021-05-28 17:12:21,-34.6534,-58.6198,overcast clouds,70.02,42,91,5.01
42,Jamestown,US,2021-05-28 17:11:27,42.097,-79.2353,light rain,50.29,97,90,5.01
43,Nuuk,GL,2021-05-28 17:15:28,64.1835,-51.7216,few clouds,43.41,75,20,10.36
44,Ilulissat,GL,2021-05-28 17:15:29,69.2167,-51.1,few clouds,46.42,46,20,5.75
45,Paso De Los Toros,UY,2021-05-28 17:15:29,-32.8167,-56.5167,broken clouds,68.2,70,73,7.47
46,Frontera,MX,2021-05-28 17:15:29,26.9333,-101.45,broken clouds,90.7,40,58,7.83
47,Punta Arenas,CL,2021-05-28 17:15:30,-53.15,-70.9167,scattered clouds,37.51,65,40,19.66
48,Hasaki,JP,2021-05-28 17:15:30,35.7333,140.8333,overcast clouds,68.29,84,100,22.77
49,Cayenne,GF,2021-05-28 17:15:31,4.9333,-52.3333,broken clouds,83.08,78,75,5.01
50,Avarua,CK,2021-05-28 17:15:31,-21.2078,-159.775,broken clouds,69.85,100,75,3.44
51,Ribeira Grande,PT,2021-05-28 17:15:31,38.5167,-28.7,scattered clouds,66.6,63,40,12.66
52,Dikson,RU,2021-05-28 17:15:32,73.5069,80.5464,overcast clouds,23.29,93,100,3.62
53,Qaanaaq,GL,2021-05-28 17:15:32,77.484,-69.3632,overcast clouds,40.15,91,93,5.06
54,Bredasdorp,ZA,2021-05-28 17:15:32,-34.5322,20.0403,clear sky,61.29,88,7,14.2
55,Daoukro,CI,2021-05-28 17:15:33,7.0591,-3.9631,scattered clouds,88.39,55,37,5.41
56,Pevek,RU,2021-05-28 17:15:33,69.7008,170.3133,overcast clouds,35.58,75,91,4.32
