City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kurilsk,RU,2021-05-24 20:04:33,45.2333,147.8833,40.59,98,100,6.96
1,Butaritari,KI,2021-05-24 20:03:24,3.0707,172.7902,76.42,95,100,19.8
2,San Cristobal,VE,2021-05-24 20:04:33,7.7669,-72.225,75.38,94,100,5.32
3,Dubrovnik,HR,2021-05-24 20:04:34,42.6481,18.0922,73.04,77,20,10.87
4,Pevek,RU,2021-05-24 20:04:34,69.7008,170.3133,31.78,80,100,4.03
5,Thompson,CA,2021-05-24 20:00:15,55.7435,-97.8558,51.96,87,90,4.61
6,Tuktoyaktuk,CA,2021-05-24 20:04:35,69.4541,-133.0374,33.6,75,9,5.08
7,Jamestown,US,2021-05-24 20:04:08,42.097,-79.2353,77.02,59,90,5.01
8,Kamloops,CA,2021-05-24 20:02:53,50.6665,-120.3192,68.58,38,100,5.99
9,Port Alfred,ZA,2021-05-24 20:04:36,-33.5906,26.891,73.09,40,100,13.02
10,Puerto Ayora,EC,2021-05-24 20:04:36,-0.7393,-90.3518,75.54,87,52,8.01
11,Albany,US,2021-05-24 20:00:30,42.6001,-73.9662,75.15,37,46,3.49
12,Dikson,RU,2021-05-24 20:04:38,73.5069,80.5464,21.74,91,46,7.83
13,Severo-Kurilsk,RU,2021-05-24 20:04:38,50.6789,156.125,39.9,76,99,14.16
14,Havelock,US,2021-05-24 20:04:39,34.8791,-76.9013,89.58,79,100,4.0
15,Salinopolis,BR,2021-05-24 20:04:39,-0.6136,-47.3561,83.17,77,90,13.96
16,Guarapari,BR,2021-05-24 20:04:40,-20.6667,-40.4975,76.89,81,71,9.91
17,Monaragala,LK,2021-05-24 20:04:40,6.8714,81.3487,75.58,82,100,10.07
18,Bredasdorp,ZA,2021-05-24 20:04:41,-34.5322,20.0403,57.69,86,100,4.79
19,Hami,CN,2021-05-24 20:04:41,42.8,93.45,70.09,17,0,5.46
20,Rikitea,PF,2021-05-24 20:04:42,-23.1203,-134.9692,76.42,82,100,18.92
21,Miandoab,IR,2021-05-24 20:04:42,36.9694,46.1027,63.75,32,75,4.59
22,Bud,US,2021-05-24 20:04:42,39.447,-86.1758,89.04,49,97,9.26
23,Usak,TR,2021-05-24 20:04:43,38.5,29.4167,63.32,47,0,10.31
24,Kalmunai,LK,2021-05-24 20:04:44,7.4167,81.8167,79.45,80,100,11.14
25,Makat,KZ,2021-05-24 20:04:44,47.6469,53.3463,83.41,18,2,4.81
26,Hofn,IS,2021-05-24 20:04:44,64.2539,-15.2082,42.85,70,80,3.76
27,Amapa,BR,2021-05-24 20:04:45,1.0,-52.0,78.46,95,96,4.34
